county,year,totalPopulation
Archuleta,2016,12362
Baca,2021,3487
Yuma,2019,10006
Elbert,2012,23035
Fremont,2019,48382
Kiowa,2004,1527
Grand,2011,14843
Alamosa,2021,16510
Costilla,2002,3735
Crowley,2007,5911
Denver,2019,710147
Huerfano,2016,6721
San Miguel,2018,8154
Gunnison,2022,17515
Crowley,2002,5349
Pueblo,2000,141854
Park,2002,15415
San Juan,2009,681
Jefferson,2017,575924
Delta,2014,30065
Montrose,2021,43178
San Juan,2000,574
El Paso,2004,558449
Kiowa,2013,1400
Logan,2021,21441
Mesa,2007,137389
Gilpin,2018,5705
Huerfano,2011,6674
Montezuma,2005,24600
Park,2001,15175
Mineral,2014,742
Pitkin,2019,17417
Delta,2018,31035
Cheyenne,2016,1790
Delta,2015,30039
Pueblo,2015,162447
Weld,2011,258704
Washington,2019,4825
Costilla,2000,3673
Chaffee,2012,17968
Baca,2022,3460
Pueblo,2020,168497
Mesa,2005,128998
Jefferson,2006,524579
Cheyenne,2019,1777
San Miguel,2019,8126
Pueblo,2013,160563
Adams,2005,395381
Summit,2022,31060
Phillips,2009,4461
Chaffee,2005,17019
Montrose,2012,41300
Weld,2016,294511
Park,2019,17515
Kiowa,2012,1381
Delta,2011,30435
Summit,2006,26837
Phillips,2011,4481
Clear Creek,2013,8969
Boulder,2017,325420
Eagle,2018,54202
Logan,2022,21291
San Juan,2003,612
Arapahoe,2015,629966
Mesa,2006,133129
Lincoln,2018,5622
Denver,2020,717489
Hinsdale,2002,805
Fremont,2002,46971
Lake,2008,7270
Washington,2015,4683
Sedgwick,2009,2379
Chaffee,2018,19248
Weld,2022,345159
Gilpin,2017,5634
Cheyenne,2008,1903
El Paso,2007,588777
Montrose,2020,42798
Larimer,2002,266177
Jefferson,2011,540625
La Plata,2022,56364
Gilpin,2009,5392
Moffat,2007,13273
Bent,2001,5878
Montrose,2005,36999
San Juan,2021,736
Costilla,2019,3501
Huerfano,2001,7903
La Plata,2000,44578
Baca,2012,3702
Baca,2002,4315
Arapahoe,2003,516352
Kit Carson,2019,7183
Moffat,2002,13127
Yuma,2018,9956
Baca,2018,3548
Larimer,2001,260911
Crowley,2014,5841
Conejos,2018,7662
Las Animas,2014,15085
Yuma,2015,10041
Rio Grande,2021,11399
Montezuma,2002,24107
Jackson,2014,1375
Grand,2010,14790
San Miguel,2000,6614
Summit,2009,27780
Moffat,2003,13053
Larimer,2006,281026
San Juan,2008,700
Saguache,2019,6363
Jackson,2022,1356
Ouray,2017,4729
Montrose,2018,42083
Pueblo,2016,164122
Gunnison,2015,15822
Las Animas,2008,15487
Moffat,2021,13160
Summit,2020,30985
Saguache,2012,6159
Logan,2017,21696
Garfield,2009,55401
Kit Carson,2006,7944
Mesa,2012,147934
Chaffee,2007,17234
Custer,2011,4320
Sedgwick,2021,2331
Elbert,2004,22040
Douglas,2004,233644
Park,2009,15965
La Plata,2007,49151
Kiowa,2005,1540
Grand,2009,14660
Kit Carson,2008,8042
Kiowa,2016,1424
Rio Grande,2001,12404
Mesa,2016,150350
Rio Blanco,2017,6567
Broomfield,2019,72670
Dolores,2015,2083
Kit Carson,2009,8269
Park,2012,15737
Prowers,2010,12531
Las Animas,2002,15658
Routt,2017,24169
Jefferson,2020,582977
Grand,2005,13893
Conejos,2019,7548
Ouray,2019,4894
Lake,2021,7392
Cheyenne,2011,1833
Las Animas,2018,14727
Larimer,2005,275871
Alamosa,2019,16244
Rio Grande,2013,11866
Pueblo,2017,165553
Saguache,2016,6191
Cheyenne,2000,2214
Adams,2010,443711
Moffat,2005,12962
Grand,2018,15262
Phillips,2016,4503
Archuleta,2018,13033
Weld,2015,284855
Pueblo,2010,159496
San Miguel,2016,8004
Clear Creek,2006,9278
Custer,2003,3936
Routt,2002,20893
Baca,2019,3569
Cheyenne,2003,2117
Phillips,2017,4511
Park,2016,16464
Archuleta,2012,11990
Washington,2011,4610
